time,cluster,in_out
1388526550.0,1,out
1388526550.0,7,in
1388526710.0,7,out
1388526843.0,31,in
1388526925.0,31,out
1388526946.0,31,in
1388527093.0,31,out
1388537851.0,5,in
1388537904.0,5,out
1388538125.0,7,in
1388538317.0,7,out
1388538317.0,1,in
1407761237.0,1,out
1407761237.0,4,in
1407761311.0,4,out
1407761319.0,4,in
1407761323.0,4,out
1407761324.0,4,in
1407764005.0,4,out
1407764005.0,1,in
1407764723.0,1,out
1407764723.0,7,in
1407765012.0,7,out
1407765112.0,31,in
1407766736.0,31,out
1407769922.0,31,in
1407770759.0,31,out
1407770912.0,7,in
1407771155.0,7,out
1407771155.0,1,in
1407924471.0,1,out
1407924471.0,7,in
1408602709.0,7,out
1408602709.0,1,in
1408606971.0,1,out
1408608459.0,0,in
1408625381.0,0,out
1408625381.0,42,in
1408625383.0,42,out
1408625393.0,42,in
1408625400.0,42,out
1408625414.0,42,in
1408625811.0,42,out
1408625853.0,42,in
1408625866.0,42,out
1408627512.0,61,in
1408627647.0,61,out
1408628685.0,4,in
1408628719.0,4,out
1408628719.0,1,in
1408668947.0,1,out
1408668947.0,4,in
1408668954.0,4,out
1408668954.0,1,in
1408668984.0,1,out
1408668984.0,4,in
1408669017.0,4,out
1408670349.0,61,in
1408671758.0,61,out
1408672743.0,0,in
1408726336.0,0,out
1408727247.0,61,in
1408727300.0,61,out
1408728142.0,4,in
1408728170.0,4,out
1408728170.0,1,in
1408784439.0,1,out
1408784439.0,7,in
1408784646.0,7,out
1408784849.0,31,in
1408785052.0,31,out
1408785251.0,7,in
1408785439.0,7,out
1408785439.0,1,in
1408785808.0,1,out
1408785808.0,4,in
1408785831.0,4,out
1408787838.0,61,in
1408787972.0,61,out
1408788131.0,79,in
1408798526.0,79,out
1408798831.0,79,in
1408799063.0,79,out
1408799590.0,61,in
1408799619.0,61,out
1408800457.0,4,in
1408800567.0,4,out
1408800567.0,1,in
1408800654.0,1,out
1408802860.0,1,in
1408803220.0,1,out
1408803220.0,7,in
1408803854.0,7,out
1408803967.0,49,in
1408808171.0,49,out
1408808234.0,7,in
1408808277.0,7,out
1408808390.0,31,in
1408808706.0,31,out
1408808797.0,7,in
1408808918.0,7,out
1408808918.0,1,in
1408865935.0,1,out
1408865935.0,4,in
1408870778.0,4,out
1408871415.0,0,in
1408980040.0,0,out
1408980040.0,1,in
1408980537.0,1,out
1408980537.0,4,in
